DT,daily_reward
2020-01-02,0.0
2020-01-03,0.0
2020-01-06,-0.0008091114370025743
2020-01-07,0.0006106110017942701
2020-01-08,0.0008123031294720029
2020-01-09,0.003049722214567341
2020-01-10,-0.0004035813785228104
2020-01-13,-0.0011739805218548005
2020-01-14,0.0007721487687457618
2020-01-15,8.158717568851337e-05
2020-01-16,0.0007312044837415321
2020-01-17,0.0004065979079315163
2020-01-19,0.0004054273926215046
2020-01-20,0.003238081376180535
2020-01-21,0.0010214149133294104
2020-01-22,0.004457996313085744
2020-01-23,0.015082139740383083
2020-02-03,-0.002425763872113018
2020-02-04,-0.00020674094070161075
2020-02-05,-0.0002067827332883354
2020-02-06,0.0032412592693102926
2020-02-07,0.000990539400196111
2020-02-10,-0.0036326332265437244
2020-02-11,-0.00040848765105006013
2020-02-12,0.0004894009586866588
2020-02-13,-0.0023139215218287434
2020-02-14,-0.0008178182510062415
2020-02-17,0.002017092173892898
2020-02-18,-0.0014159209074781076
2020-02-19,-0.0008101036382754945
2020-02-20,0.0018140890435485169
2020-02-21,0.0
2020-02-24,-0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0002253592580587771
2020-03-02,-0.0
2020-03-03,0.0
2020-03-04,-0.0
2020-03-05,0.00328790410703661
2020-03-06,0.00870261949879736
2020-03-09,-0.0062377638023797255
2020-03-10,0.0012019011294530646
2020-03-11,0.0005565227275114992
2020-03-12,-0.0026315783707459017
2020-03-13,0.0015202398978122478
2020-03-16,-0.0036966816797161517
2020-03-17,0.0005979168682941349
2020-03-18,-0.0010167283257799253
2020-03-19,0.00341628639997249
2020-03-20,0.0015579143299211395
2020-03-23,-0.0007758031502361762
2020-03-24,0.00018948588179457104
2020-03-25,0.0
2020-03-26,-0.0
2020-03-27,-0.0
2020-03-30,0.0
2020-03-31,0.0014233538571626347
2020-04-01,-0.0022402883176304567
2020-04-02,0.0
2020-04-03,0.0
2020-04-07,0.004553302251386393
2020-04-08,-0.001677449761924743
2020-04-09,-0.0003179926866981875
2020-04-10,-0.0010359670061939052
2020-04-13,0.0011948103547372302
2020-04-14,0.0015959830739247227
2020-04-15,0.0029633566061300076
2020-04-16,-0.0029306892310937416
2020-04-17,-0.0020672964886284673
2020-04-20,0.0019610303290693576
2020-04-21,0.0010006635138766207
2020-04-22,0.0016101943111115347
2020-04-23,0.0013683793053540505
2020-04-24,-4.586848165843982e-05
2020-04-26,5.542722888396412e-05
2020-04-27,0.0009670586075922749
2020-04-28,0.0009861729449491818
2020-04-29,-0.0024053015951783774
2020-04-30,-0.004634822196943111
2020-05-06,-0.004776462422318328
2020-05-07,0.0
2020-05-08,-0.0016213497230108675
2020-05-09,-0.003184164729717054
2020-05-11,-0.0005983314888617919
2020-05-12,0.002384143600607791
2020-05-13,-0.0017778084912236647
2020-05-14,-0.0019569681992455124
2020-05-15,0.003959523536230414
2020-05-18,0.0011893731924369488
2020-05-19,-0.0023679577997901546
2020-05-20,5.822774946984133e-06
2020-05-21,-0.006309701815847335
2020-05-22,0.0049111752611832316
2020-05-25,0.004553529871482387
2020-05-26,0.000804262204484929
2020-05-27,-0.002566743963916762
2020-05-28,0.00020217001152422753
2020-05-29,0.0015894938841118922
2020-06-01,0.006442552638104115
2020-06-02,-0.0002073618124347476
2020-06-03,0.003947078104153734
2020-06-04,0.0024916574322413343
2020-06-05,-0.002917218748286654
2020-06-08,0.0004140975689013171
2020-06-09,0.00020713455836773864
2020-06-10,-0.003955479031229281
2020-06-11,-0.0
2020-06-12,0.0008304528709395242
2020-06-15,-0.0
2020-06-16,-0.0
2020-06-17,0.0
2020-06-18,-0.0
2020-06-19,0.0037194751518005997
2020-06-22,0.001501230390386743
2020-06-23,-0.00442744037821674
2020-06-24,-0.0012388145792516791
2020-06-28,-0.0
2020-06-29,0.0
2020-06-30,-0.0
2020-07-01,-0.0
2020-07-02,0.003799205697381347
2020-07-03,0.008358573775672729
2020-07-06,0.0027025922006299608
2020-07-07,0.0047080967213144476
2020-07-08,0.004300894002007172
2020-07-09,0.0009885456777760648
2020-07-10,0.008371705575574429
2020-07-13,-0.004470660810651728
2020-07-14,-0.002106127722256712
2020-07-15,-0.001447700248325301
2020-07-16,0.0014084081786300828
2020-07-17,-0.0016390790345439665
2020-07-20,-0.004183971511515949
2020-07-21,-0.0032591584587668976
2020-07-22,-0.0
2020-07-23,0.0
2020-07-24,-0.0
2020-07-27,-0.0032691406714399074
2020-07-28,-0.0
2020-07-29,-0.0
2020-07-30,-0.0
2020-07-31,-0.0
2020-08-03,-0.0
2020-08-04,-0.001235762108866223
2020-08-05,-0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-10,0.0
2020-08-11,-0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-17,0.002695135014543326
2020-08-18,0.003322561257103729
2020-08-19,0.0016440420769733288
2020-08-20,0.0
2020-08-21,-0.0
2020-08-24,-0.0
2020-08-25,0.001853470004162583
2020-08-26,0.0010181714882051551
2020-08-27,0.0006359616344528973
2020-08-28,-0.0029456758880324063
2020-08-31,0.00349233967961049
2020-09-01,0.00370322741337048
2020-09-02,-0.00021722682227465206
2020-09-03,0.0018538958352444235
2020-09-04,-3.258492561375448e-05
2020-09-07,-0.0014557616508685811
2020-09-08,-0.004145776002539403
2020-09-09,-0.0
2020-09-10,-0.0
2020-09-11,-0.0
2020-09-14,0.0
2020-09-15,0.0020385138681069392
2020-09-16,0.0010265873490366006
2020-09-17,-0.0006283539047615694
