DT,ts_code,trade_date,OPEN,CLOSE,HIGH,LOW,pre_close,change,pct_chg,swing,vol
2023-04-17,SPTSX,20230417,640.33,631.69,640.33,628.58,637.88,-6.19,-0.97,1.84,
2023-04-18,SPTSX,20230418,633.41,630.49,633.6,627.95,631.69,-1.2,-0.19,0.89,
2023-04-19,SPTSX,20230419,628.42,626.16,628.47,623.91,630.49,-4.33,-0.69,0.72,
2023-04-20,SPTSX,20230420,627.82,615.49,627.82,613.41,626.16,-10.67,-1.7,2.3,
2023-04-21,SPTSX,20230421,614.49,614.2,616.73,612.76,615.49,-1.29,-0.21,0.65,
2023-04-24,SPTSX,20230424,613.92,610.18,613.92,608.04,614.2,-4.02,-0.65,0.96,
2023-04-25,SPTSX,20230425,610.98,603.78,610.98,601.73,610.18,-6.4,-1.05,1.52,
2023-04-26,SPTSX,20230426,605.61,602.58,606.05,600.81,603.78,-1.2,-0.2,0.87,
2023-04-27,SPTSX,20230427,603.91,606.28,606.81,602.66,602.58,3.7,0.61,0.69,
2023-04-28,SPTSX,20230428,606.06,613.38,613.38,604.98,606.28,7.1,1.17,1.39,
2023-05-01,SPTSX,20230501,612.79,608.65,615.24,607.23,613.38,-4.73,-0.77,1.31,
2023-05-02,SPTSX,20230502,608.67,607.43,609.18,603.68,608.65,-1.22,-0.2,0.9,
2023-05-03,SPTSX,20230503,607.84,606.11,608.89,604.36,607.43,-1.32,-0.22,0.75,
2023-05-04,SPTSX,20230504,607.38,607.3,610.49,604.75,606.11,1.19,0.2,0.95,
2023-05-05,SPTSX,20230505,608.3,615.4,616.46,607.16,607.3,8.1,1.33,1.53,
2023-05-08,SPTSX,20230508,619.83,619.99,620.55,617.91,615.4,4.59,0.75,0.43,
2023-05-09,SPTSX,20230509,619.96,620.22,621.48,617.08,619.99,0.23,0.04,0.71,
2023-05-10,SPTSX,20230510,624.07,621.77,624.56,619.31,620.22,1.55,0.25,0.85,
2023-05-11,SPTSX,20230511,620.82,616.65,621.92,614.22,621.77,-5.12,-0.82,1.24,
